award_year,category,prize,prize_share,laureate_id,laureate_type,full_name,birth_year,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_year,death_city,death_country
1962,Literature,The Nobel Prize in Literature 1962,1-Jan,634,Individual,John Steinbeck,1902,"""Salinas, CA""",United States of America,Male,null,null,null,1968,"""New York, NY""",United States of America
1948,Chemistry,The Nobel Prize in Chemistry 1948,1-Jan,208,Individual,Arne Wilhelm Kaurin Tiselius,1902,Stockholm,Sweden,Male,Uppsala University,Uppsala,Sweden,1971,Uppsala,Sweden
1966,Physics,The Nobel Prize in Physics 1966,1-Jan,87,Individual,Alfred Kastler,1902,Guebwiller,Germany (France),Male,École Normale Supérieure,Paris,France,1984,Bandol,France
1933,Physics,The Nobel Prize in Physics 1933,2-Jan,40,Individual,Paul Adrien Maurice Dirac,1902,Bristol,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1984,"""Tallahassee, FL""",United States of America
1982,Peace,The Nobel Peace Prize 1982,2-Jan,543,Individual,Alva Myrdal,1902,Uppsala,Sweden,Female,null,null,null,1986,Stockholm,Sweden
1956,Physics,The Nobel Prize in Physics 1956,3-Jan,67,Individual,Walter Houser Brattain,1902,Amoy,China,Male,Bell Telephone Laboratories,"""Murray Hill, NJ""",United States of America,1987,"""Seattle, WA""",United States of America
1983,Medicine,The Nobel Prize in Physiology or Medicine 1983,1-Jan,428,Individual,Barbara McClintock,1902,"""Hartford, CT""",United States of America,Female,Cold Spring Harbor Laboratory,"""Cold Spring Harbor, NY""",United States of America,1992,"""Huntington, NY""",United States of America
1965,Medicine,The Nobel Prize in Physiology or Medicine 1965,3-Jan,381,Individual,André Lwoff,1902,Ainay-le-Château,France,Male,Institut Pasteur,Paris,France,1994,Paris,France
1963,Physics,The Nobel Prize in Physics 1963,2-Jan,78,Individual,Eugene Paul Wigner,1902,Budapest,Austria-Hungary (Hungary),Male,Princeton University,"""Princeton, NJ""",United States of America,1995,"""Princeton, NJ""",United States of America
1955,Literature,The Nobel Prize in Literature 1955,1-Jan,626,Individual,Halldór Kiljan Laxness,1902,Reykjavik,Iceland,Male,null,null,null,1998,Reykjavik,Iceland
1979,Economics,The Sveriges Riksbank Prize in Economic Sciences 1979,2-Jan,692,Individual,Theodore W. Schultz,1902,"""Arlington, SD""",United States of America,Male,University of Chicago,"""Chicago, IL""",United States of America,1998,"""Evanston, IL""",United States of America
1950,Physics,The Nobel Prize in Physics 1950,1-Jan,55,Individual,Cecil Frank Powell,1903,Tonbridge,United Kingdom,Male,Bristol University,Bristol,United Kingdom,1969,null,Italy
1968,Chemistry,The Nobel Prize in Chemistry 1968,1-Jan,236,Individual,Lars Onsager,1903,Kristiania (Oslo),Norway,Male,Yale University,"""New Haven, CT""",United States of America,1976,"""Coral Gables, FL""",United States of America
1963,Chemistry,The Nobel Prize in Chemistry 1963,2-Jan,229,Individual,Giulio Natta,1903,Imperia,Italy,Male,Institute of Technology,Milan,Italy,1979,Bergamo,Italy
1955,Medicine,The Nobel Prize in Physiology or Medicine 1955,1-Jan,359,Individual,Axel Hugo Theodor Theorell,1903,Linköping,Sweden,Male,"""Karolinska Institutet, Nobel Medical Institute""",Stockholm,Sweden,1982,Stockholm,Sweden
1967,Medicine,The Nobel Prize in Physiology or Medicine 1967,3-Jan,386,Individual,Haldan Keffer Hartline,1903,"""Bloomsburg, PA""",United States of America,Male,Rockefeller University,"""New York, NY""",United States of America,1983,"""Fallston, MD""",United States of America
1973,Medicine,The Nobel Prize in Physiology or Medicine 1973,3-Jan,401,Individual,Konrad Lorenz,1903,Vienna,Austria,Male,"""Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften, Forschungsstelle für Ethologie""",Altenberg; Grünau im Almtal,Austria,1989,Vienna,Austria
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,4-Jan,364,Individual,George Wells Beadle,1903,"""Wahoo, NE""",United States of America,Male,California Institute of Technology (Caltech),"""Pasadena, CA""",United States of America,1989,"""Pomona, CA""",United States of America
1969,Economics,The Sveriges Riksbank Prize in Economic Sciences 1969,2-Jan,678,Individual,Jan Tinbergen,1903,the Hague,Netherlands,Male,The Netherlands School of Economics,Rotterdam,Netherlands,1994,the Hague,Netherlands
1939,Chemistry,The Nobel Prize in Chemistry 1939,2-Jan,199,Individual,Adolf Friedrich Johann Butenandt,1903,Bremerhaven-Lehe,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,1995,Munich,Germany
1951,Physics,The Nobel Prize in Physics 1951,2-Jan,57,Individual,Ernest Thomas Sinton Walton,1903,Dungarvan,Ireland,Male,Trinity College,Dublin,Ireland,1995,Belfast,Northern Ireland
1980,Medicine,The Nobel Prize in Physiology or Medicine 1980,3-Jan,421,Individual,George D. Snell,1903,"""Bradford, MA""",United States of America,Male,Jackson Laboratory,"""Bar Harbor, ME""",United States of America,1996,"""Bar Harbor, ME""",United States of America
1963,Medicine,The Nobel Prize in Physiology or Medicine 1963,3-Jan,375,Individual,Sir John Carew Eccles,1903,Melbourne,Australia,Male,Australian National University,Canberra,Australia,1997,Contra,Switzerland
1946,Chemistry,The Nobel Prize in Chemistry 1946,4-Jan,206,Individual,Wendell Meredith Stanley,1904,"""Ridgeville, IN""",United States of America,Male,Rockefeller Institute for Medical Research,"""Princeton, NJ""",United States of America,1971,Salamanca,Spain
1950,Peace,The Nobel Peace Prize 1950,1-Jan,511,Individual,Ralph Bunche,1904,"""Detroit, MI""",United States of America,Male,Harvard University,"""Cambridge, MA""",United States of America,1971,"""New York, NY""",United States of America
1971,Literature,The Nobel Prize in Literature 1971,1-Jan,645,Individual,Pablo Neruda,1904,Parral,Chile,Male,null,null,null,1973,Santiago,Chile
1974,Literature,The Nobel Prize in Literature 1974,2-Jan,650,Individual,Harry Martinson,1904,Jämshög,Sweden,Male,null,null,null,1978,Stockholm,Sweden
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,3-Jan,361,Individual,Werner Forssmann,1904,Berlin,Germany,Male,Mainz University,Mainz,Federal Republic of Germany,1979,Schopfheim,West Germany (Germany)
1974,Peace,The Nobel Peace Prize 1974,2-Jan,532,Individual,Seán MacBride,1904,Paris,France,Male,null,null,null,1988,Dublin,Ireland
1972,Economics,The Sveriges Riksbank Prize in Economic Sciences 1972,2-Jan,681,Individual,John R. Hicks,1904,Warwick,United Kingdom,Male,All Souls College,Oxford,United Kingdom,1989,Blockley,United Kingdom
1987,Chemistry,The Nobel Prize in Chemistry 1987,3-Jan,269,Individual,Charles J. Pedersen,1904,Pusan,Korea (South Korea),Male,Du Pont,"""Wilmington, DE""",United States of America,1989,"""Salem, NJ""",United States of America
1958,Physics,The Nobel Prize in Physics 1958,3-Jan,70,Individual,Pavel Alekseyevich Cherenkov,1904,Novaya Chigla,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,1990,null,Union of Soviet Socialist Republics
1978,Literature,The Nobel Prize in Literature 1978,1-Jan,654,Individual,Isaac Bashevis Singer,1904,Leoncin,Russian Empire (Poland),Male,null,null,null,1991,"""Surfside, FL""",United States of America
1971,Chemistry,The Nobel Prize in Chemistry 1971,1-Jan,240,Individual,Gerhard Herzberg,1904,Hamburg,Germany,Male,National Research Council of Canada,Ottawa,Canada,1999,Ottawa,Canada
1970,Physics,The Nobel Prize in Physics 1970,2-Jan,92,Individual,Louis Eugène Félix Néel,1904,Lyon,France,Male,University of Grenoble,Grenoble,France,2000,Brive-Corrèze,France
1961,Peace,The Nobel Peace Prize 1961,1-Jan,520,Individual,Dag Hjalmar Agne Carl Hammarskjöld,1905,Jönköping,Sweden,Male,null,null,null,1961,Ndola,Northern Rhodesia (Zambia)
1964,Literature,The Nobel Prize in Literature 1964,1-Jan,637,Individual,Jean-Paul Sartre,1905,Paris,France,Male,null,null,null,1980,Paris,France
1970,Medicine,The Nobel Prize in Physiology or Medicine 1970,3-Jan,395,Individual,Ulf von Euler,1905,Stockholm,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,1983,Stockholm,Sweden
1952,Physics,The Nobel Prize in Physics 1952,2-Jan,58,Individual,Felix Bloch,1905,Zurich,Switzerland,Male,Stanford University,"""Stanford, CA""",United States of America,1983,Zurich,Switzerland
1965,Literature,The Nobel Prize in Literature 1965,1-Jan,638,Individual,Mikhail Aleksandrovich Sholokhov,1905,Veshenskaya,Russia,Male,null,null,null,1984,Veshenskaya,Union of Soviet Socialist Republics
1959,Physics,The Nobel Prize in Physics 1959,2-Jan,72,Individual,Emilio Gino Segrè,1905,Tivoli,Italy,Male,University of California,"""Berkeley, CA""",United States of America,1989,"""Lafayette, CA""",United States of America
1936,Physics,The Nobel Prize in Physics 1936,2-Jan,43,Individual,Carl David Anderson,1905,"""New York, NY""",United States of America,Male,California Institute of Technology (Caltech),"""Pasadena, CA""",United States of America,1991,"""San Marino, CA""",United States of America
1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,2-Jan,367,Individual,Severo Ochoa,1905,Luarca,Spain,Male,"""New York University, College of Medicine""","""New York, NY""",United States of America,1993,Madrid,Spain
1981,Literature,The Nobel Prize in Literature 1981,1-Jan,658,Individual,Elias Canetti,1905,Ruse,Bulgaria,Male,null,null,null,1994,Zurich,Switzerland
1977,Physics,The Nobel Prize in Physics 1977,3-Jan,108,Individual,Sir Nevill Francis Mott,1905,Leeds,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1996,Milton Keynes,United Kingdom
1988,Medicine,The Nobel Prize in Physiology or Medicine 1988,3-Jan,439,Individual,George H. Hitchings,1905,"""Hoquiam, WA""",United States of America,Male,Wellcome Research Laboratories,"""Research Triangle Park, NC""",United States of America,1998,"""Chapel Hill, NC""",United States of America
1963,Physics,The Nobel Prize in Physics 1963,4-Jan,79,Individual,Maria Goeppert Mayer,1906,Kattowitz (Katowice),Germany (Poland),Female,University of California,"""San Diego, CA""",United States of America,1972,"""San Diego, CA""",United States of America
1965,Physics,The Nobel Prize in Physics 1965,3-Jan,84,Individual,Sin-Itiro Tomonaga,1906,Kyoto,Japan,Male,Tokyo University of Education,Tokyo,Japan,1979,Tokyo,Japan
1945,Medicine,The Nobel Prize in Physiology or Medicine 1945,3-Jan,340,Individual,Ernst Boris Chain,1906,Berlin,Germany,Male,University of Oxford,Oxford,United Kingdom,1979,Mulrany,Ireland
1969,Medicine,The Nobel Prize in Physiology or Medicine 1969,3-Jan,391,Individual,Max Delbrück,1906,Berlin,Germany,Male,California Institute of Technology (Caltech),"""Pasadena, CA""",United States of America,1981,"""Pasadena, CA""",United States of America
1970,Chemistry,The Nobel Prize in Chemistry 1970,1-Jan,239,Individual,Luis F. Leloir,1906,Paris,France,Male,Institute for Biochemical Research,Buenos Aires,Argentina,1987,Buenos Aires,Argentina
1986,Physics,The Nobel Prize in Physics 1986,2-Jan,127,Individual,Ernst Ruska,1906,Heidelberg,Germany,Male,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Federal Republic of Germany,1988,West Berlin,Germany
1969,Literature,The Nobel Prize in Literature 1969,1-Jan,643,Individual,Samuel Beckett,1906,Dublin,Ireland,Male,null,null,null,1989,Paris,France
1967,Medicine,The Nobel Prize in Physiology or Medicine 1967,3-Jan,387,Individual,George Wald,1906,"""New York, NY""",United States of America,Male,Harvard University,"""Cambridge, MA""",United States of America,1997,"""Cambridge, MA""",United States of America
1975,Chemistry,The Nobel Prize in Chemistry 1975,2-Jan,248,Individual,Vladimir Prelog,1906,Sarajevo,Austria-Hungary (Bosnia and Herzegovina),Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,1998,Zurich,Switzerland
1973,Economics,The Sveriges Riksbank Prize in Economic Sciences 1973,1-Jan,683,Individual,Wassily Leontief,1906,St. Petersburg,Russia,Male,Harvard University,"""Cambridge, MA""",United States of America,1999,"""New York, NY""",United States of America
1967,Physics,The Nobel Prize in Physics 1967,1-Jan,88,Individual,Hans Albrecht Bethe,1906,Strassburg (Strasbourg),Germany (France),Male,Cornell University,"""Ithaca, NY""",United States of America,2005,"""Ithaca, NY""",United States of America
1963,Physics,The Nobel Prize in Physics 1963,4-Jan,80,Individual,J. Hans D. Jensen,1907,Hamburg,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany,1973,Heidelberg,West Germany (Germany)
1949,Physics,The Nobel Prize in Physics 1949,1-Jan,54,Individual,Hideki Yukawa,1907,Tokyo,Japan,Male,Kyoto Imperial University,Kyoto,Japan,1981,Kyoto,Japan
1973,Medicine,The Nobel Prize in Physiology or Medicine 1973,3-Jan,402,Individual,Nikolaas Tinbergen,1907,the Hague,Netherlands,Male,University of Oxford,Oxford,United Kingdom,1988,Oxford,United Kingdom
1951,Chemistry,The Nobel Prize in Chemistry 1951,2-Jan,212,Individual,Edwin Mattison McMillan,1907,"""Redondo Beach, CA""",United States of America,Male,University of California,"""Berkeley, CA""",United States of America,1991,"""El Cerrito, CA""",United States of America
1957,Medicine,The Nobel Prize in Physiology or Medicine 1957,1-Jan,363,Individual,Daniel Bovet,1907,Neuchâtel,Switzerland,Male,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy,1992,Rome,Italy
1977,Economics,The Sveriges Riksbank Prize in Economic Sciences 1977,2-Jan,690,Individual,James E. Meade,1907,Swanage,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1995,Cambridge,United Kingdom
1957,Chemistry,The Nobel Prize in Chemistry 1957,1-Jan,221,Individual,Lord (Alexander R.) Todd,1907,Glasgow,Scotland,Male,University of Cambridge,Cambridge,United Kingdom,1997,Cambridge,United Kingdom
1962,Physics,The Nobel Prize in Physics 1962,1-Jan,77,Individual,Lev Davidovich Landau,1908,Baku,Russian Empire (Azerbaijan),Male,Academy of Sciences,Moscow,Union of Soviet Socialist Republics,1968,Moscow,Union of Soviet Socialist Republics (Russia)
1960,Chemistry,The Nobel Prize in Chemistry 1960,1-Jan,224,Individual,Willard Frank Libby,1908,"""Grand Valley, CO""",United States of America,Male,University of California,"""Los Angeles, CA""",United States of America,1980,"""Los Angeles, CA""",United States of America
1958,Physics,The Nobel Prize in Physics 1958,3-Jan,721,Individual,Il´ja Mikhailovich Frank,1908,Leningrad (Saint Petersburg),Russia,Male,University of Moscow,Moscow,Union of Soviet Socialist Republics,1990,Moscow,Union of Soviet Socialist Republics (Russia)
1956,Physics,The Nobel Prize in Physics 1956,3-Jan,66,Individual,John Bardeen,1908,"""Madison, WI""",United States of America,Male,University of Illinois,"""Urbana, IL""",United States of America,1991,"""Boston, MA""",United States of America
1972,Physics,The Nobel Prize in Physics 1972,3-Jan,66,Individual,John Bardeen,1908,"""Madison, WI""",United States of America,Male,University of Illinois,"""Urbana, IL""",United States of America,1991,"""Boston, MA""",United States of America
1970,Physics,The Nobel Prize in Physics 1970,2-Jan,91,Individual,Hannes Olof Gösta Alfvén,1908,Norrköping,Sweden,Male,Royal Institute of Technology,Stockholm,Sweden,1995,Djursholm,Sweden
1969,Medicine,The Nobel Prize in Physiology or Medicine 1969,3-Jan,392,Individual,Alfred D. Hershey,1908,"""Owosso, MI""",United States of America,Male,Carnegie Institution of Washington,"""Long Island, New York, NY""",United States of America,1997,"""Syosset, NY""",United States of America
1995,Peace,The Nobel Peace Prize 1995,2-Jan,560,Individual,Joseph Rotblat,1908,Warsaw,Russian Empire (Poland),Male,null,null,null,2005,London,United Kingdom
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,4-Jan,365,Individual,Edward Lawrie Tatum,1909,"""Boulder, CO""",United States of America,Male,Rockefeller Institute for Medical Research,"""New York, NY""",United States of America,1975,"""New York, NY""",United States of America
1986,Medicine,The Nobel Prize in Physiology or Medicine 1986,2-Jan,435,Individual,Rita Levi-Montalcini,1909,Turin,Italy,Female,Institute of Cell Biology of the C.N.R.,Rome,Italy,2012,Rome,Italy
1958,Peace,The Nobel Peace Prize 1958,1-Jan,517,Individual,Georges Pire,1910,Dinant,Belgium,Male,null,null,null,1969,Leuven,Belgium
1965,Medicine,The Nobel Prize in Physiology or Medicine 1965,3-Jan,382,Individual,Jacques Monod,1910,Paris,France,Male,Institut Pasteur,Paris,France,1976,Cannes,France
1975,Economics,The Sveriges Riksbank Prize in Economic Sciences 1975,2-Jan,687,Individual,Tjalling C. Koopmans,1910,'s Graveland,Netherlands,Male,Yale University,"""New Haven, CT""",United States of America,1985,"""New Haven, CT""",United States of America
1974,Chemistry,The Nobel Prize in Chemistry 1974,1-Jan,246,Individual,Paul J. Flory,1910,"""Sterling, IL""",United States of America,Male,Stanford University,"""Stanford, CA""",United States of America,1985,"""Big Sur, CA""",United States of America
1956,Physics,The Nobel Prize in Physics 1956,3-Jan,65,Individual,William Bradford Shockley,1910,London,United Kingdom,Male,"""Semiconductor Laboratory of Beckman Instruments, Inc.""","""Mountain View, CA""",United States of America,1989,"""Palo Alto, CA""",United States of America
1964,Chemistry,The Nobel Prize in Chemistry 1964,1-Jan,230,Individual,Dorothy Crowfoot Hodgkin,1910,Cairo,Egypt,Female,"""University of Oxford, Royal Society""",Oxford,United Kingdom,1994,Shipston-on-Stour,United Kingdom
1983,Physics,The Nobel Prize in Physics 1983,2-Jan,122,Individual,Subramanyan Chandrasekhar,1910,Lahore,India (Pakistan),Male,University of Chicago,"""Chicago, IL""",United States of America,1995,"""Chicago, IL""",United States of America
1979,Peace,The Nobel Peace Prize 1979,1-Jan,540,Organization,Mother Teresa,1910,Uskup (Skopje),Ottoman Empire (Republic of Macedonia),Female,null,null,null,1997,Calcutta,India
1952,Chemistry,The Nobel Prize in Chemistry 1952,2-Jan,214,Individual,Archer John Porter Martin,1910,London,United Kingdom,Male,National Institute for Medical Research,London,United Kingdom,2002,Llangarron,United Kingdom
1991,Economics,The Sveriges Riksbank Prize in Economic Sciences 1991,1-Jan,707,Individual,Ronald H. Coase,1910,Willesden,United Kingdom,Male,University of Chicago,"""Chicago, IL""",United States of America,2013,"""Chicago, IL""",United States of America
1964,Medicine,The Nobel Prize in Physiology or Medicine 1964,2-Jan,379,Individual,Feodor Lynen,1911,Munich,Germany,Male,Max-Planck-Institut für Zellchemie,Munich,Federal Republic of Germany,1979,Munich,Germany
1972,Chemistry,The Nobel Prize in Chemistry 1972,4-Jan,243,Individual,William H. Stein,1911,"""New York, NY""",United States of America,Male,Rockefeller University,"""New York, NY""",United States of America,1980,"""New York, NY""",United States of America
1968,Physics,The Nobel Prize in Physics 1968,1-Jan,89,Individual,Luis Walter Alvarez,1911,"""San Francisco, CA""",United States of America,Male,University of California,"""Berkeley, CA""",United States of America,1988,"""Berkeley, CA""",United States of America
1973,Peace,The Nobel Peace Prize 1973,2-Jan,531,Organization,Le Duc Tho,1911,Nam Ha province,Vietnam,Male,null,null,null,1990,Hanoi,Vietnam
1982,Peace,The Nobel Peace Prize 1982,2-Jan,544,Individual,Alfonso García Robles,1911,Zamora,Mexico,Male,null,null,null,1991,Mexico City,Mexico
1982,Economics,The Sveriges Riksbank Prize in Economic Sciences 1982,1-Jan,696,Individual,George J. Stigler,1911,"""Renton, WA""",United States of America,Male,University of Chicago,"""Chicago, IL""",United States of America,1991,"""Chicago, IL""",United States of America
1955,Physics,The Nobel Prize in Physics 1955,2-Jan,64,Individual,Polykarp Kusch,1911,Blankenburg,Germany,Male,Columbia University,"""New York, NY""",United States of America,1993,"""Dallas, TX""",United States of America
1983,Literature,The Nobel Prize in Literature 1983,1-Jan,660,Individual,William Golding,1911,St. Columb Minor,United Kingdom,Male,null,null,null,1993,Perranarworthal,United Kingdom
1984,Medicine,The Nobel Prize in Physiology or Medicine 1984,3-Jan,429,Individual,Niels K. Jerne,1911,London,United Kingdom,Male,Basel Institute for Immunology,Basel,Switzerland,1994,Castillon-du-Gard,France
1983,Physics,The Nobel Prize in Physics 1983,2-Jan,123,Individual,William Alfred Fowler,1911,"""Pittsburgh, PA""",United States of America,Male,California Institute of Technology (Caltech),"""Pasadena, CA""",United States of America,1995,"""Pasadena, CA""",United States of America
1979,Literature,The Nobel Prize in Literature 1979,1-Jan,655,Individual,Odysseus Elytis,1911,Iráklion,Crete (Greece),Male,null,null,null,1996,Athens,Greece
1961,Chemistry,The Nobel Prize in Chemistry 1961,1-Jan,225,Individual,Melvin Calvin,1911,"""St. Paul, MN""",United States of America,Male,University of California,"""Berkeley, CA""",United States of America,1997,"""Berkeley, CA""",United States of America
1989,Economics,The Sveriges Riksbank Prize in Economic Sciences 1989,1-Jan,703,Individual,Trygve Haavelmo,1911,Skedsmo,Norway,Male,University of Oslo,Oslo,Norway,1999,Oslo,Norway
1970,Medicine,The Nobel Prize in Physiology or Medicine 1970,3-Jan,394,Individual,Sir Bernard Katz,1911,Leipzig,Germany,Male,University College,London,United Kingdom,2003,London,United Kingdom
1980,Literature,The Nobel Prize in Literature 1980,1-Jan,657,Individual,Czeslaw Milosz,1911,&#346;eteniai,Russian Empire (Lithuania),Male,null,null,null,2004,Kraków,Poland
1988,Literature,The Nobel Prize in Literature 1988,1-Jan,665,Individual,Naguib Mahfouz,1911,Cairo,Egypt,Male,null,null,null,2006,Cairo,Egypt
1988,Economics,The Sveriges Riksbank Prize in Economic Sciences 1988,1-Jan,702,Individual,Maurice Allais,1911,Paris,France,Male,École Nationale Supérieur des Mines de Paris,Paris,France,2010,Paris,France
1975,Economics,The Sveriges Riksbank Prize in Economic Sciences 1975,2-Jan,686,Individual,Leonid Vitaliyevich Kantorovich,1912,St. Petersburg,Russian Empire (Russia),Male,Academy of Sciences,Moscow,Union of Soviet Socialist Republics,1986,Moscow,Union of Soviet Socialist Republics (Russia)
1973,Literature,The Nobel Prize in Literature 1973,1-Jan,648,Individual,Patrick White,1912,London,United Kingdom,Male,null,null,null,1990,Sydney,Australia
1969,Medicine,The Nobel Prize in Physiology or Medicine 1969,3-Jan,393,Individual,Salvador E. Luria,1912,Torino,Italy,Male,Massachusetts Institute of Technology (MIT),"""Cambridge, MA""",United States of America,1991,"""Lexington, MA""",United States of America
1952,Physics,The Nobel Prize in Physics 1952,2-Jan,59,Individual,Edward Mills Purcell,1912,"""Taylorville, IL""",United States of America,Male,Harvard University,"""Cambridge, MA""",United States of America,1997,"""Cambridge, MA""",United States of America
1951,Chemistry,The Nobel Prize in Chemistry 1951,2-Jan,213,Individual,Glenn Theodore Seaborg,1912,"""Ishpeming, MI""",United States of America,Male,University of California,"""Berkeley, CA""",United States of America,1999,"""Lafayette, CA""",United States of America
1964,Medicine,The Nobel Prize in Physiology or Medicine 1964,2-Jan,378,Individual,Konrad Bloch,1912,Neisse (Nysa),Germany (Poland),Male,Harvard University,"""Cambridge, MA""",United States of America,2000,"""Burlington, MA""",United States of America
1979,Chemistry,The Nobel Prize in Chemistry 1979,2-Jan,252,Individual,Herbert C. Brown,1912,London,United Kingdom,Male,Purdue University,"""West Lafayette, IN""",United States of America,2004,"""Lafayette, IN""",United States of America
1970,Medicine,The Nobel Prize in Physiology or Medicine 1970,3-Jan,396,Individual,Julius Axelrod,1912,"""New York, NY""",United States of America,Male,National Institutes of Health,"""Bethesda, MD""",United States of America,2004,"""Rockville, MD""",United States of America
1976,Economics,The Sveriges Riksbank Prize in Economic Sciences 1976,1-Jan,688,Individual,Milton Friedman,1912,"""Brooklyn, NY""",United States of America,Male,University of Chicago,"""Chicago, IL""",United States of America,2006,"""San Francisco, CA""",United States of America
